timestamp,trade_id,net_pnl_usdt,cumulative_usdt,cumulative_return,exit_reason,rolling_peak,drawdown_pct
2022-11-17 09:00:00+00:00,1,13.93,10013.93,0.0013929999999999776,TARGET,10013.93,0.0
2022-11-24 06:00:00+00:00,2,13.33,10027.26,0.002726000000000006,TARGET,10027.26,0.0
2022-11-26 12:00:00+00:00,3,9.3,10036.56,0.0036559999999998816,TARGET,10036.56,0.0
2022-11-30 00:00:00+00:00,4,27.76,10064.32,0.006431999999999993,TARGET,10064.32,0.0
2022-12-03 06:00:00+00:00,5,8.09,10072.41,0.007241000000000053,TARGET,10072.41,0.0
2022-12-05 00:00:00+00:00,6,7.92,10080.33,0.008032999999999957,TARGET,10080.33,0.0
2022-12-12 02:00:00+00:00,7,-8.04,10072.289999999999,0.00722899999999993,STOPLOSS,10080.33,-0.0007975929359456361
2022-12-13 12:00:00+00:00,8,14.04,10086.33,0.00863299999999989,TARGET,10086.33,0.0
2022-12-16 04:00:00+00:00,9,50.74,10137.07,0.013706999999999914,TARGET,10137.07,0.0
2022-12-17 10:00:00+00:00,10,5.47,10142.539999999999,0.014253999999999989,TARGET,10142.539999999999,0.0
2022-12-22 16:00:00+00:00,11,24.46,10166.999999999998,0.016699999999999715,TARGET,10166.999999999998,0.0
2022-12-29 16:00:00+00:00,12,7.26,10174.259999999998,0.01742599999999994,TARGET,10174.259999999998,0.0
2023-01-01 12:00:00+00:00,13,35.08,10209.339999999998,0.020933999999999786,TARGET,10209.339999999998,0.0
2023-01-04 03:00:00+00:00,14,-7.26,10202.079999999998,0.02020799999999978,STOPLOSS,10209.339999999998,-0.0007111135489659684
2023-01-04 15:00:00+00:00,15,-1.59,10200.489999999998,0.02004899999999976,STOPLOSS,10209.339999999998,-0.000866853293161004
2023-01-06 10:00:00+00:00,16,14.24,10214.729999999998,0.021472999999999853,TARGET,10214.729999999998,0.0
2023-01-10 00:00:00+00:00,17,8.68,10223.409999999998,0.022340999999999722,TARGET,10223.409999999998,0.0
2023-01-11 18:00:00+00:00,18,-28.54,10194.869999999997,0.01948699999999981,STOPLOSS,10223.409999999998,-0.0027916321462213567
2023-01-14 16:00:00+00:00,19,45.68,10240.549999999997,0.024054999999999715,TARGET,10240.549999999997,0.0
2023-01-19 07:00:00+00:00,20,27.58,10268.129999999997,0.026812999999999754,TARGET,10268.129999999997,0.0
2023-01-24 09:00:00+00:00,21,11.19,10279.319999999998,0.027931999999999846,TARGET,10279.319999999998,0.0
2023-01-27 22:00:00+00:00,22,-16.84,10262.479999999998,0.026247999999999827,STOPLOSS,10279.319999999998,-0.0016382406618336766
2023-01-29 08:00:00+00:00,23,18.02,10280.499999999998,0.02804999999999991,TARGET,10280.499999999998,0.0
2023-02-02 19:00:00+00:00,24,12.49,10292.989999999998,0.029298999999999742,TARGET,10292.989999999998,0.0
2023-02-21 00:00:00+00:00,25,14.66,10307.649999999998,0.03076499999999971,TARGET,10307.649999999998,0.0
2023-02-23 10:00:00+00:00,26,28.48,10336.129999999997,0.03361299999999967,TARGET,10336.129999999997,0.0
2023-02-25 05:00:00+00:00,27,7.33,10343.459999999997,0.034345999999999766,TARGET,10343.459999999997,0.0
2023-03-05 13:00:00+00:00,28,13.89,10357.349999999997,0.03573499999999963,TARGET,10357.349999999997,0.0
2023-03-09 19:00:00+00:00,29,-1.81,10355.539999999997,0.03555399999999964,STOPLOSS,10357.349999999997,-0.00017475512558709432
2023-03-12 16:00:00+00:00,30,41.54,10397.079999999998,0.039707999999999855,TARGET,10397.079999999998,0.0
2023-03-12 22:00:00+00:00,31,-19.78,10377.299999999997,0.03772999999999982,STOPLOSS,10397.079999999998,-0.0019024572283757226
2023-03-15 03:00:00+00:00,32,36.0,10413.299999999997,0.041329999999999645,TARGET,10413.299999999997,0.0
2023-03-15 20:00:00+00:00,33,-16.08,10397.219999999998,0.03972199999999981,STOPLOSS,10413.299999999997,-0.0015441790786782223
2023-03-17 08:00:00+00:00,34,17.33,10414.549999999997,0.0414549999999998,TARGET,10414.549999999997,0.0
2023-03-19 16:00:00+00:00,35,16.03,10430.579999999998,0.04305799999999982,TARGET,10430.579999999998,0.0
2023-03-30 02:00:00+00:00,36,8.86,10439.439999999999,0.04394399999999976,TARGET,10439.439999999999,0.0
2023-04-06 01:00:00+00:00,37,6.22,10445.659999999998,0.044565999999999883,TARGET,10445.659999999998,0.0
2023-04-07 16:00:00+00:00,38,5.87,10451.529999999999,0.04515299999999978,TARGET,10451.529999999999,0.0
2023-04-13 22:00:00+00:00,39,10.72,10462.249999999998,0.04622499999999974,TARGET,10462.249999999998,0.0
2023-04-15 21:00:00+00:00,40,6.76,10469.009999999998,0.04690099999999986,TARGET,10469.009999999998,0.0
2023-04-17 22:00:00+00:00,41,16.24,10485.249999999998,0.04852499999999971,TARGET,10485.249999999998,0.0
2023-04-22 03:00:00+00:00,42,34.22,10519.469999999998,0.05194699999999974,TARGET,10519.469999999998,0.0
2023-04-23 12:00:00+00:00,43,7.17,10526.639999999998,0.05266399999999982,TARGET,10526.639999999998,0.0
2023-04-29 02:00:00+00:00,44,10.13,10536.769999999997,0.05367699999999975,TARGET,10536.769999999997,0.0
2023-05-05 07:00:00+00:00,45,13.85,10550.619999999997,0.05506199999999972,TARGET,10550.619999999997,0.0
2023-05-09 18:00:00+00:00,46,16.61,10567.229999999998,0.05672299999999986,TARGET,10567.229999999998,0.0
2023-05-12 12:00:00+00:00,47,18.65,10585.879999999997,0.05858799999999964,TARGET,10585.879999999997,0.0
2023-05-19 21:00:00+00:00,48,7.94,10593.819999999998,0.059381999999999824,TARGET,10593.819999999998,0.0
2023-05-24 00:00:00+00:00,49,4.61,10598.429999999998,0.05984299999999987,TARGET,10598.429999999998,0.0
2023-05-26 02:00:00+00:00,50,5.69,10604.119999999999,0.06041199999999991,TARGET,10604.119999999999,0.0
2023-05-28 08:00:00+00:00,51,5.79,10609.91,0.06099100000000002,TARGET,10609.91,0.0
2023-06-01 05:00:00+00:00,52,4.98,10614.89,0.061488999999999905,TARGET,10614.89,0.0
2023-06-07 09:00:00+00:00,53,4.75,10619.64,0.06196399999999991,TARGET,10619.64,0.0
2023-06-09 01:00:00+00:00,54,4.72,10624.359999999999,0.062435999999999936,TARGET,10624.359999999999,0.0
2023-06-11 00:00:00+00:00,55,8.53,10632.89,0.06328899999999993,TARGET,10632.89,0.0
2023-06-13 01:00:00+00:00,56,6.75,10639.64,0.06396399999999991,TARGET,10639.64,0.0
2023-06-14 16:00:00+00:00,57,10.41,10650.05,0.06500499999999998,TARGET,10650.05,0.0
2023-06-16 02:00:00+00:00,58,9.93,10659.98,0.065998,TARGET,10659.98,0.0
2023-06-22 07:00:00+00:00,59,7.21,10667.189999999999,0.06671899999999997,TARGET,10667.189999999999,0.0
2023-06-24 19:00:00+00:00,60,7.19,10674.38,0.06743799999999989,TARGET,10674.38,0.0
2023-07-04 10:00:00+00:00,61,7.26,10681.64,0.06816399999999989,TARGET,10681.64,0.0
2023-07-08 03:00:00+00:00,62,-16.29,10665.349999999999,0.06653499999999979,STOPLOSS,10681.64,-0.001525046715672956
2023-07-11 05:00:00+00:00,63,33.98,10699.329999999998,0.0699329999999998,TARGET,10699.329999999998,0.0
2023-07-14 06:00:00+00:00,64,-8.64,10690.689999999999,0.06906899999999982,STOPLOSS,10699.329999999998,-0.000807527200301273
2023-07-16 19:00:00+00:00,65,42.04,10732.73,0.07327299999999992,TARGET,10732.73,0.0
2023-08-07 13:00:00+00:00,66,3.34,10736.07,0.07360699999999998,TARGET,10736.07,0.0
2023-08-08 20:00:00+00:00,67,4.18,10740.25,0.07402500000000001,TARGET,10740.25,0.0
2023-08-15 20:00:00+00:00,68,3.76,10744.01,0.07440099999999994,TARGET,10744.01,0.0
2023-08-17 10:00:00+00:00,69,-4.25,10739.76,0.07397600000000004,STOPLOSS,10744.01,-0.0003955692520762732
2023-08-20 14:00:00+00:00,70,31.42,10771.18,0.07711800000000002,TARGET,10771.18,0.0
2023-08-22 22:00:00+00:00,71,3.82,10775.0,0.0774999999999999,TARGET,10775.0,0.0
2023-08-25 04:00:00+00:00,72,4.3,10779.3,0.07792999999999983,TARGET,10779.3,0.0
2023-08-29 14:00:00+00:00,73,-1.61,10777.689999999999,0.07776899999999998,STOPLOSS,10779.3,-0.00014936034807460432
2023-08-30 18:00:00+00:00,74,6.29,10783.98,0.07839799999999997,TARGET,10783.98,0.0
2023-09-02 20:00:00+00:00,75,4.7,10788.68,0.07886799999999994,TARGET,10788.68,0.0
2023-09-11 06:00:00+00:00,76,4.64,10793.32,0.07933199999999996,TARGET,10793.32,0.0
2023-09-14 11:00:00+00:00,77,2.58,10795.9,0.07959000000000005,TARGET,10795.9,0.0
2023-09-15 23:00:00+00:00,78,5.07,10800.97,0.08009699999999986,TARGET,10800.97,0.0
2023-09-17 17:00:00+00:00,79,5.6,10806.57,0.08065699999999998,TARGET,10806.57,0.0
2023-09-19 23:00:00+00:00,80,10.71,10817.279999999999,0.0817279999999998,TARGET,10817.279999999999,0.0
2023-09-22 12:00:00+00:00,81,6.22,10823.499999999998,0.08234999999999992,TARGET,10823.499999999998,0.0
2023-09-24 18:00:00+00:00,82,6.37,10829.869999999999,0.08298699999999992,TARGET,10829.869999999999,0.0
2023-09-29 05:00:00+00:00,83,3.44,10833.31,0.08333100000000004,TARGET,10833.31,0.0
2023-10-02 09:00:00+00:00,84,4.98,10838.289999999999,0.08382899999999993,TARGET,10838.289999999999,0.0
2023-10-04 06:00:00+00:00,85,-11.64,10826.65,0.08266499999999999,STOPLOSS,10838.289999999999,-0.001073970155808658
2023-10-05 16:00:00+00:00,86,11.4,10838.05,0.08380499999999991,TARGET,10838.289999999999,-2.2143714552736802e-05
2023-10-07 05:00:00+00:00,87,-5.55,10832.5,0.08325000000000005,STOPLOSS,10838.289999999999,-0.000534217113585174
2023-10-07 12:00:00+00:00,88,-9.77,10822.73,0.08227300000000004,STOPLOSS,10838.289999999999,-0.001435650826837028
2023-10-09 10:00:00+00:00,89,12.18,10834.91,0.08349099999999998,TARGET,10838.289999999999,-0.0003118573132845864
2023-10-12 15:00:00+00:00,90,12.26,10847.17,0.08471699999999993,TARGET,10847.17,0.0
2023-10-23 17:00:00+00:00,91,16.24,10863.41,0.086341,TARGET,10863.41,0.0
2023-10-27 13:00:00+00:00,92,13.66,10877.07,0.08770699999999998,TARGET,10877.07,0.0
2023-10-29 11:00:00+00:00,93,11.14,10888.21,0.08882099999999982,TARGET,10888.21,0.0
2023-11-03 05:00:00+00:00,94,42.31,10930.519999999999,0.09305199999999991,TARGET,10930.519999999999,0.0
2023-11-04 21:00:00+00:00,95,13.04,10943.56,0.09435599999999988,TARGET,10943.56,0.0
2023-11-06 09:00:00+00:00,96,11.43,10954.99,0.095499,TARGET,10954.99,0.0
2023-11-07 15:00:00+00:00,97,14.38,10969.369999999999,0.09693699999999983,TARGET,10969.369999999999,0.0
2023-11-10 13:00:00+00:00,98,11.82,10981.189999999999,0.09811899999999985,TARGET,10981.189999999999,0.0
2023-11-12 17:00:00+00:00,99,35.58,11016.769999999999,0.1016769999999998,TARGET,11016.769999999999,0.0
2023-11-14 18:00:00+00:00,100,22.93,11039.699999999999,0.1039699999999999,TARGET,11039.699999999999,0.0
2023-11-16 16:00:00+00:00,101,17.47,11057.169999999998,0.10571699999999984,TARGET,11057.169999999998,0.0
2023-11-18 23:00:00+00:00,102,22.87,11080.039999999999,0.10800399999999999,TARGET,11080.039999999999,0.0
2023-11-23 01:00:00+00:00,103,15.25,11095.289999999999,0.10952899999999999,TARGET,11095.289999999999,0.0
2023-11-27 10:00:00+00:00,104,24.24,11119.529999999999,0.11195299999999997,TARGET,11119.529999999999,0.0
2023-12-05 17:00:00+00:00,105,14.75,11134.279999999999,0.11342799999999986,TARGET,11134.279999999999,0.0
2023-12-06 00:00:00+00:00,106,-31.92,11102.359999999999,0.11023599999999978,STOPLOSS,11134.279999999999,-0.002866822102551766
2023-12-07 09:00:00+00:00,107,3.39,11105.749999999998,0.11057499999999987,STOPLOSS,11134.279999999999,-0.0025623569732394604
2023-12-09 09:00:00+00:00,108,20.45,11126.199999999999,0.11261999999999994,TARGET,11134.279999999999,-0.0007256867978890354
2023-12-10 19:00:00+00:00,109,-2.45,11123.749999999998,0.11237499999999989,STOPLOSS,11134.279999999999,-0.0009457279680410997
2023-12-12 10:00:00+00:00,110,37.35,11161.099999999999,0.11610999999999994,TARGET,11161.099999999999,0.0
2023-12-14 19:00:00+00:00,111,21.66,11182.759999999998,0.11827599999999983,TARGET,11182.759999999998,0.0
2023-12-18 13:00:00+00:00,112,27.36,11210.119999999999,0.1210119999999999,TARGET,11210.119999999999,0.0
2023-12-28 22:00:00+00:00,113,14.48,11224.599999999999,0.12245999999999979,TARGET,11224.599999999999,0.0
2024-01-05 23:00:00+00:00,114,16.7,11241.3,0.12412999999999985,TARGET,11241.3,0.0
2024-01-10 09:00:00+00:00,115,13.47,11254.769999999999,0.12547699999999984,TARGET,11254.769999999999,0.0
2024-01-12 04:00:00+00:00,116,19.45,11274.22,0.12742199999999992,TARGET,11274.22,0.0
2024-01-24 09:00:00+00:00,117,11.78,11286.0,0.12860000000000005,TARGET,11286.0,0.0
2024-01-26 01:00:00+00:00,118,20.28,11306.28,0.13062799999999997,TARGET,11306.28,0.0
2024-01-27 16:00:00+00:00,119,10.48,11316.76,0.13167600000000013,TARGET,11316.76,0.0
2024-01-28 03:00:00+00:00,120,-25.27,11291.49,0.12914899999999996,STOPLOSS,11316.76,-0.0022329712744637545
2024-01-30 06:00:00+00:00,121,28.57,11320.06,0.13200599999999985,TARGET,11320.06,0.0
2024-02-02 01:00:00+00:00,122,8.96,11329.019999999999,0.13290199999999985,TARGET,11329.019999999999,0.0
2024-02-03 09:00:00+00:00,123,8.99,11338.009999999998,0.13380099999999984,TARGET,11338.009999999998,0.0
2024-02-11 01:00:00+00:00,124,10.48,11348.489999999998,0.13484899999999977,TARGET,11348.489999999998,0.0
2024-02-14 15:00:00+00:00,125,12.35,11360.839999999998,0.13608399999999987,TARGET,11360.839999999998,0.0
2024-02-25 07:00:00+00:00,126,20.33,11381.169999999998,0.13811699999999982,TARGET,11381.169999999998,0.0
2024-02-27 21:00:00+00:00,127,9.87,11391.039999999999,0.1391039999999999,TARGET,11391.039999999999,0.0
2024-02-29 01:00:00+00:00,128,-0.02,11391.019999999999,0.13910199999999984,STOPLOSS,11391.039999999999,-1.755765935369954e-06
2024-03-01 12:00:00+00:00,129,16.37,11407.39,0.14073899999999995,TARGET,11407.39,0.0
2024-03-03 08:00:00+00:00,130,6.61,11414.0,0.14139999999999997,TARGET,11414.0,0.0
