timestamp,trade_id,net_pnl_usdt,cumulative_usdt,cumulative_return,exit_reason,rolling_peak,drawdown_pct
2022-11-23 10:00:00+00:00,1,17.0,10017.0,0.0017000000000000348,TARGET,10017.0,0.0
2022-11-26 03:00:00+00:00,2,17.17,10034.17,0.0034170000000000034,TARGET,10034.17,0.0
2022-11-27 19:00:00+00:00,3,14.84,10049.01,0.004901000000000044,TARGET,10049.01,0.0
2022-11-30 07:00:00+00:00,4,20.05,10069.06,0.006905999999999857,TARGET,10069.06,0.0
2022-12-04 04:00:00+00:00,5,14.12,10083.18,0.008318000000000048,TARGET,10083.18,0.0
2022-12-17 02:00:00+00:00,6,13.63,10096.81,0.00968100000000005,TARGET,10096.81,0.0
2022-12-21 17:00:00+00:00,7,5.68,10102.49,0.010248999999999953,TARGET,10102.49,0.0
2022-12-31 11:00:00+00:00,8,7.98,10110.47,0.011047000000000029,TARGET,10110.47,0.0
2023-01-01 20:00:00+00:00,9,6.83,10117.3,0.011730000000000018,TARGET,10117.3,0.0
2023-01-03 13:00:00+00:00,10,5.68,10122.98,0.01229799999999992,TARGET,10122.98,0.0
2023-01-07 16:00:00+00:00,11,18.48,10141.46,0.014145999999999992,TARGET,10141.46,0.0
2023-01-09 10:00:00+00:00,12,4.07,10145.529999999999,0.014552999999999816,TARGET,10145.529999999999,0.0
2023-01-13 03:00:00+00:00,13,4.33,10149.859999999999,0.014985999999999944,TARGET,10149.859999999999,0.0
2023-01-16 19:00:00+00:00,14,43.51,10193.369999999999,0.019336999999999938,TARGET,10193.369999999999,0.0
2023-01-19 06:00:00+00:00,15,7.39,10200.759999999998,0.02007599999999976,TARGET,10200.759999999998,0.0
2023-01-23 22:00:00+00:00,16,11.52,10212.279999999999,0.021227999999999803,TARGET,10212.279999999999,0.0
2023-01-27 22:00:00+00:00,17,6.65,10218.929999999998,0.02189299999999994,TARGET,10218.929999999998,0.0
2023-02-12 11:00:00+00:00,18,48.03,10266.96,0.02669599999999983,TARGET,10266.96,0.0
2023-02-17 18:00:00+00:00,19,15.85,10282.81,0.028281,TARGET,10282.81,0.0
2023-02-19 22:00:00+00:00,20,22.09,10304.9,0.030489999999999906,TARGET,10304.9,0.0
2023-02-21 11:00:00+00:00,21,11.51,10316.41,0.03164100000000003,TARGET,10316.41,0.0
2023-02-24 13:00:00+00:00,22,9.58,10325.99,0.032599000000000045,TARGET,10325.99,0.0
2023-02-26 00:00:00+00:00,23,11.34,10337.33,0.03373300000000001,TARGET,10337.33,0.0
2023-03-04 11:00:00+00:00,24,8.8,10346.13,0.034613000000000005,TARGET,10346.13,0.0
2023-03-09 10:00:00+00:00,25,11.06,10357.189999999999,0.035718999999999834,TARGET,10357.189999999999,0.0
2023-03-11 11:00:00+00:00,26,13.45,10370.64,0.037063999999999986,TARGET,10370.64,0.0
2023-03-16 22:00:00+00:00,27,6.23,10376.869999999999,0.037686999999999804,TARGET,10376.869999999999,0.0
2023-03-19 12:00:00+00:00,28,14.57,10391.439999999999,0.039143999999999846,TARGET,10391.439999999999,0.0
2023-03-20 10:00:00+00:00,29,-2.53,10388.909999999998,0.03889099999999979,STOPLOSS,10391.439999999999,-0.00024346962499910071
